Date,Open,High,Low,Close,Volume
2025-10-08,158.22,160.16,154.28,156.2,80341845
2025-10-09,155.37,157.58,151.88,154.07,45219870
2025-10-10,154.22,157.55,152.52,155.83,67181078
2025-10-13,156.64,158.44,156.07,157.87,66646207
2025-10-14,157.14,160.34,156.2,159.39,41114844
2025-10-15,159.8,160.35,157.1,157.65,63212450
2025-10-16,157.49,159.9,155.93,158.33,61515393
2025-10-17,158.3,160.47,156.55,158.71,53769989
2025-10-20,158.21,160.9,156.68,159.36,75099778
2025-10-21,159.2,162.51,158.5,161.79,70657245
2025-10-22,162.42,163.91,160.98,162.47,61959287
2025-10-23,162.75,165.71,161.46,164.41,73546178
2025-10-24,165.26,166.04,163.89,164.66,75786512
2025-10-27,165.24,168.19,162.6,165.54,64016267
2025-10-28,165.76,167.99,165.16,167.38,46060451
2025-10-29,168.26,169.16,162.43,163.3,75505334
2025-10-30,163.52,165.33,160.68,162.48,73056834
2025-10-31,162.88,163.65,160.49,161.25,89005024
2025-11-03,161.1,163.69,156.99,159.56,38987070
2025-11-04,159.59,161.99,156.49,158.88,55156343
2025-11-05,158.54,165.3,156.29,162.98,85453600
2025-11-06,163.46,164.32,159.8,160.64,60874983
2025-11-07,160.08,164.38,159.07,163.35,86557373
2025-11-10,163.74,167.78,154.82,158.74,30748192
2025-11-11,158.65,160.78,155.79,157.9,32110188
2025-11-12,158.46,159.35,157.51,158.4,77761713
2025-11-13,158.76,162.07,156.75,160.05,51505867
2025-11-14,160.92,163.57,159.4,162.04,61213804
2025-11-17,162.4,167.74,158.99,164.3,55680569
2025-11-18,163.52,165.74,161.17,163.39,54477685
2025-11-19,163.35,165.08,160.46,162.17,86368457
2025-11-20,161.6,165.44,160.77,164.6,35644317
2025-11-21,164.34,167.22,161.26,164.13,76333018
2025-11-24,164.87,167.18,158.39,160.63,83379385
2025-11-25,160.94,161.79,156.78,157.6,69444708
2025-11-26,157.27,160.32,152.19,155.2,53700434
2025-11-27,154.73,159.38,151.97,156.58,39600827
2025-11-28,156.59,159.3,154.32,157.02,70954895
2025-12-01,156.45,160.01,155.38,158.93,58127869
2025-12-02,158.61,159.82,156.62,157.83,38962449
2025-12-03,157.98,159.96,156.35,158.32,51579020
2025-12-04,158.87,160.9,158.05,160.07,87692977
2025-12-05,160.36,163.41,156.27,159.29,45923135
2025-12-08,158.2,161.82,156.99,160.59,40706505
2025-12-09,160.74,162.06,157.55,158.85,70918525
2025-12-10,158.88,161.18,155.65,157.93,41972519
2025-12-11,158.13,159.5,155.61,156.97,85194540
2025-12-12,157.73,159.11,152.5,153.84,81538971
2025-12-15,152.89,156.4,151.69,155.18,89011810
2025-12-16,154.9,156.43,152.48,154.0,84754964
2025-12-17,154.28,155.36,153.01,154.1,44625855
2025-12-18,153.37,158.24,150.58,155.42,42728844
2025-12-19,156.11,157.89,154.88,156.66,50558366
2025-12-22,156.83,160.45,154.9,158.49,58188053
2025-12-23,158.9,159.71,157.48,158.29,82799741
2025-12-24,158.02,160.52,154.73,157.22,74009694
2025-12-25,157.6,158.71,155.96,157.07,68666082
2025-12-26,157.57,159.19,151.06,152.62,82701944
2025-12-29,152.73,154.95,146.76,148.93,68753243
2025-12-30,149.04,150.44,144.27,145.64,52743161
2025-12-31,145.76,146.51,142.49,143.23,54780053
2026-01-01,142.86,145.49,141.64,144.26,61021169
2026-01-02,144.2,146.51,139.82,142.1,35326331
2026-01-05,142.03,143.02,140.26,141.24,74502984
2026-01-06,141.4,144.89,140.94,144.42,69166552
2026-01-07,144.85,145.64,142.82,143.6,73868158
2026-01-08,143.14,146.71,141.92,145.46,62036549
2026-01-09,145.4,146.46,142.17,143.21,76977607
2026-01-12,143.84,144.97,141.65,142.77,86985057
2026-01-13,142.45,143.4,139.57,140.52,64196029
2026-01-14,140.17,142.31,137.63,139.76,56663029
2026-01-15,139.85,143.57,138.12,141.82,36276905
2026-01-16,142.17,145.69,134.3,137.71,76720639
2026-01-19,137.71,141.21,135.3,138.78,84238397
2026-01-20,139.33,143.01,135.72,139.4,71969408
2026-01-21,139.75,140.68,137.13,138.04,81934352
2026-01-22,138.39,141.22,131.95,134.71,81671969
2026-01-23,134.93,135.71,134.14,134.92,77885846
2026-01-26,135.87,136.62,133.02,133.76,60172830
2026-01-27,133.68,134.98,133.05,134.35,35991748
2026-01-28,133.54,136.2,131.8,134.45,30194745
2026-01-29,135.1,139.3,133.99,138.17,42263842
2026-01-30,137.98,139.04,136.6,137.66,55861475
2026-02-02,137.7,139.97,132.28,134.49,74616021
2026-02-03,135.02,136.28,132.9,134.15,57348424
2026-02-04,133.5,136.77,130.64,133.9,31388405
2026-02-05,133.4,136.86,132.79,136.24,42620733
2026-02-06,135.59,138.24,134.77,137.41,88753478
2026-02-09,137.09,138.07,136.5,137.48,89281342
2026-02-10,137.66,141.33,136.49,140.13,52628680
2026-02-11,140.35,142.96,133.98,136.51,78299134
2026-02-12,136.63,137.24,133.66,134.26,73158752
2026-02-13,133.69,134.57,130.54,131.4,85876111
2026-02-16,130.49,133.05,127.24,129.79,83254265
2026-02-17,129.81,130.4,125.45,126.03,67724497
2026-02-18,125.85,128.96,123.58,126.68,53677793
2026-02-19,126.86,128.5,123.87,125.49,67599528
2026-02-20,125.76,126.8,120.64,121.65,49147949
2026-02-23,121.7,122.42,118.17,118.87,50885435
2026-02-24,119.14,120.43,117.55,118.84,66524467
2026-02-25,118.92,120.42,118.37,119.87,64283925
2026-02-26,120.06,124.98,118.39,123.26,64859362
2026-02-27,123.0,129.44,122.28,128.68,53080544
2026-03-02,128.61,131.21,126.27,128.87,54548398
2026-03-03,128.94,129.35,125.58,125.98,30611523
2026-03-04,126.29,127.69,119.36,120.7,66106485
2026-03-05,120.56,121.31,119.83,120.58,64547106
2026-03-06,120.77,121.22,117.79,118.24,86122882
2026-03-09,118.14,120.31,114.6,116.74,60256773
2026-03-10,116.7,118.74,112.86,114.87,58058415
2026-03-11,115.16,116.0,113.12,113.95,34060945
2026-03-12,113.27,116.27,112.4,115.38,41804530
2026-03-13,114.93,118.04,111.93,115.04,50282251
2026-03-16,114.53,115.93,113.38,114.78,52632358
2026-03-17,113.97,114.59,112.19,112.8,51761150
2026-03-18,112.57,113.63,108.6,109.64,53646418
2026-03-19,109.88,111.51,107.16,108.77,76135067
2026-03-20,108.68,109.86,107.54,108.72,37866521
2026-03-23,108.78,112.72,108.11,112.03,49935573
2026-03-24,112.39,115.14,109.58,112.32,39772290
2026-03-25,112.77,115.02,112.0,114.24,48467732
2026-03-26,114.22,114.96,112.58,113.32,71073724
2026-03-27,113.78,114.29,110.58,111.08,32805826
2026-03-30,111.11,112.26,108.17,109.3,50368665
2026-03-31,109.03,109.97,107.07,108.0,31421185
2026-04-01,107.81,113.55,106.27,111.95,87293903
2026-04-02,111.45,112.31,109.58,110.43,73635539
2026-04-03,110.14,112.83,109.38,112.05,44615804
2026-04-06,111.93,112.75,109.57,110.38,41891833
2026-04-07,110.64,113.3,109.52,112.17,35935470
2026-04-08,112.75,114.81,110.89,112.95,58372792
2026-04-09,112.48,113.49,111.68,112.69,75210273
2026-04-10,112.82,113.59,111.89,112.66,65052611
2026-04-13,112.31,112.96,110.8,111.45,82862163
2026-04-14,111.61,112.92,111.03,112.34,50629062
2026-04-15,112.29,113.59,110.22,111.51,46686801
2026-04-16,110.9,113.48,106.69,109.24,58683101
2026-04-17,109.54,110.68,105.79,106.91,42125286
2026-04-20,106.71,108.34,105.64,107.26,88538689
2026-04-21,107.09,112.82,104.53,110.18,41145968
2026-04-22,109.83,111.82,108.55,110.53,58732001
2026-04-23,110.31,111.59,109.07,110.35,61320738
2026-04-24,110.49,111.46,109.96,110.93,33422781
2026-04-27,110.87,114.91,109.42,113.44,58104998
2026-04-28,113.55,114.5,112.96,113.91,57282139
2026-04-29,114.03,115.43,111.77,113.16,45566390
2026-04-30,113.6,115.73,113.21,115.33,37678099
2026-05-01,115.21,117.66,113.78,116.22,32710387
2026-05-04,115.7,120.7,114.34,119.3,30514902
2026-05-05,119.68,121.06,118.34,119.72,58889480
2026-05-06,119.6,120.56,116.33,117.27,35390468
2026-05-07,117.66,118.25,114.02,114.59,87559940
2026-05-08,114.72,118.89,113.71,117.85,44684829
2026-05-11,117.81,121.73,117.44,121.35,69151152
2026-05-12,121.48,122.61,119.9,121.03,70409294
2026-05-13,121.74,123.24,118.81,120.29,59730393
2026-05-14,121.04,123.71,120.66,123.33,83016757
2026-05-15,123.35,123.96,120.46,121.06,36641524
2026-05-18,121.11,122.8,117.6,119.26,44041897
2026-05-19,119.65,122.67,117.61,120.62,45146177
2026-05-20,120.31,121.41,118.76,119.85,38124865
2026-05-21,119.97,120.71,119.15,119.89,47686436
2026-05-22,119.88,121.35,118.15,119.61,48761233
2026-05-25,119.72,120.81,119.26,120.34,75888213
2026-05-26,120.04,124.89,118.46,123.27,48097592
2026-05-27,122.68,126.41,119.8,123.51,82602647
2026-05-28,122.74,126.97,120.72,124.91,76360445
2026-05-29,124.49,125.9,119.24,120.61,84098511
2026-06-01,120.44,122.5,118.5,120.55,36313477
2026-06-02,120.45,121.12,118.22,118.87,89074116
2026-06-03,119.57,120.75,115.31,116.46,66837771
2026-06-04,116.85,118.4,113.25,114.77,88942000
2026-06-05,114.44,115.93,112.67,114.16,51290537
2026-06-08,114.28,116.8,113.48,115.98,87179947
2026-06-09,115.84,116.25,113.02,113.42,65316337
2026-06-10,113.32,114.42,112.42,113.52,34309328
2026-06-11,113.58,114.12,112.1,112.63,54607468
2026-06-12,112.84,113.46,111.43,112.05,38267612
2026-06-15,111.93,114.51,111.44,114.0,86476782
2026-06-16,114.37,116.24,113.22,115.09,48267991
2026-06-17,114.7,118.96,113.52,117.75,43341669
2026-06-18,117.76,119.83,115.43,117.49,63173895
2026-06-19,118.41,121.16,113.45,116.15,55509688
2026-06-22,116.23,117.62,114.36,115.75,35818673
2026-06-23,116.25,117.87,114.66,116.28,78989645
2026-06-24,116.31,118.09,114.89,116.67,80747817
2026-06-25,116.88,119.18,112.31,114.57,74577731
2026-06-26,114.55,115.24,114.1,114.79,67005370
2026-06-29,114.73,116.59,113.43,115.28,54153462
2026-06-30,115.01,122.57,112.81,120.26,62541864
2026-07-01,120.42,125.1,119.5,124.15,61259784
2026-07-02,123.83,124.62,121.62,122.4,39918679
2026-07-03,122.64,123.99,120.5,121.85,34908794
2026-07-06,122.24,122.62,118.5,118.86,45195328
2026-07-07,119.0,119.67,117.05,117.72,57260009
2026-07-08,117.62,119.83,116.19,118.4,39618721
2026-07-09,118.56,123.46,116.02,120.87,36400052
2026-07-10,120.76,123.06,117.14,119.42,81115989
2026-07-13,119.76,121.34,116.58,118.14,52499804
2026-07-14,117.49,118.82,112.59,113.88,65053671
2026-07-15,113.76,114.98,112.39,113.61,61441695
2026-07-16,112.93,113.92,110.62,111.6,74107765
2026-07-17,111.1,111.88,109.87,110.64,74388729
2026-07-20,111.09,112.68,107.48,109.04,47761971
2026-07-21,109.33,110.28,107.95,108.9,80874443
2026-07-22,108.67,109.72,104.67,105.69,52275158
2026-07-23,105.22,106.14,102.2,103.1,80112378
2026-07-24,102.18,107.52,101.56,106.87,54291297
2026-07-27,106.7,108.73,102.58,104.58,36659647
2026-07-28,105.34,105.73,102.28,102.67,75600898
2026-07-29,102.8,106.76,101.98,105.92,31809679
2026-07-30,105.74,112.8,104.2,111.19,76341179
2026-07-31,111.34,113.36,107.04,109.02,32589758
2026-08-03,108.51,110.52,106.37,108.38,42408811
2026-08-04,108.28,110.71,106.63,109.05,66201879
2026-08-05,109.09,112.9,108.51,112.3,86492331
2026-08-06,112.27,113.97,108.79,110.46,54508662
2026-08-07,110.72,111.07,109.7,110.05,37239320
2026-08-10,110.16,112.08,109.63,111.54,43974542
2026-08-11,111.77,113.86,110.33,112.41,83767324
2026-08-12,112.18,112.92,111.0,111.74,73604148
2026-08-13,112.04,112.44,111.13,111.53,36023738
2026-08-14,112.07,113.72,107.36,108.97,53093834
